Name;B1;B11;B12;B2;B3;B4;B5;B6;B7;B8;B8A;B9;real;ppn;svm;tree;lr;forest;knn;ac;k_means
pin_382;0.0214;0.135;0.0768;0.0209;0.0387;0.0318;0.0708;0.1385;0.1546;0.1732;0.1756;0.1729;3;3;3;3;3;3;3;3;3
pin_512;0.018;0.1482;0.0689;0.0167;0.0459;0.0191;0.0907;0.2589;0.2909;0.2978;0.3117;0.3156;4;4;4;4;4;4;4;4;4
pin_964;0.0415;0.0788;0.0648;0.0274;0.0287;0.0339;0.0554;0.0654;0.0681;0.0532;0.0699;0.1075;7;7;7;7;7;7;7;3;7
pin_529;0.018;0.1516;0.0715;0.017;0.045;0.0203;0.0895;0.2475;0.2804;0.291;0.2978;0.3084;4;4;4;4;4;4;4;4;4
pin_435;0.026;0.1322;0.0744;0.0185;0.0376;0.03;0.0689;0.136;0.1564;0.1694;0.1769;0.178;3;3;3;3;3;3;3;3;3
pin_1117;0.0532;0.2366;0.1811;0.0504;0.0675;0.0747;0.1409;0.2258;0.2557;0.2058;0.2427;0.2527;9;6;9;9;9;9;9;9;9
pin_849;0.0234;0.3913;0.3104;0.0251;0.036;0.0698;0.0895;0.1079;0.1347;0.164;0.1775;0.1841;6;6;6;6;6;6;6;6;6
pin_956;0.0366;0.1196;0.1021;0.0282;0.0313;0.0386;0.0522;0.0733;0.0846;0.0655;0.0905;0.1399;7;7;7;7;7;7;7;3;7
pin_362;0.0229;0.1384;0.0813;0.0203;0.0383;0.0333;0.0725;0.1375;0.1561;0.167;0.1739;0.1772;3;3;3;3;3;3;3;3;3
pin_433;0.026;0.1308;0.0769;0.022;0.0369;0.0341;0.0718;0.1401;0.1587;0.1714;0.1778;0.178;3;3;3;3;3;3;3;3;3
pin_1158;0.0117;0.0037;0.0016;0.006;0.0058;0.0075;0.0071;0.0045;0.0045;0.0042;0.0043;0.0021;10;6;10;10;10;10;10;10;10
pin_1121;0.0532;0.1899;0.1263;0.083;0.0755;0.089;0.1348;0.1992;0.224;0.1966;0.2543;0.2527;9;9;9;9;9;9;9;9;9
pin_1284;0.0115;0.0052;0.0041;0.0062;0.0064;0.007;0.0069;0.0053;0.0036;0.0057;0.0032;0.0065;10;6;10;10;10;10;10;10;10
pin_162;0.0094;0.0055;0.0046;0.0048;0.0063;0.0069;0.0062;0.0026;0.0039;0.0042;0.0043;0.005;2;2;2;2;2;2;2;10;10
pin_872;0.027;0.3478;0.2843;0.0295;0.0407;0.0751;0.1018;0.1208;0.1404;0.1678;0.1872;0.1966;6;6;6;6;6;6;6;6;6
pin_758;0.0248;0.4135;0.3147;0.0277;0.0397;0.0765;0.0979;0.1169;0.141;0.1754;0.1909;0.2018;6;6;6;6;6;6;6;6;6
pin_830;0.027;0.382;0.3084;0.024;0.0401;0.0792;0.1015;0.1221;0.1473;0.179;0.1924;0.1966;6;6;6;6;6;6;6;6;6
pin_86;0.1618;0.3697;0.3465;0.4532;0.5064;0.4836;0.3865;0.3627;0.3813;0.5004;0.3683;0.2682;1;1;1;1;1;1;1;1;1
pin_524;0.018;0.1504;0.0704;0.0203;0.0572;0.0228;0.0947;0.2517;0.2912;0.3256;0.3101;0.3084;4;4;4;4;4;4;4;4;4
pin_683;0.0661;0.3387;0.318;0.1456;0.1924;0.2532;0.2558;0.2849;0.2995;0.3364;0.3117;0.2855;5;5;5;5;5;5;5;5;5
pin_1218;0.0118;0.0039;0.003;0.0051;0.006;0.0073;0.007;0.0039;0.0028;0.0052;0.0041;0.0021;10;6;10;10;10;10;10;10;10
pin_1029;0.0374;0.2133;0.1675;0.05;0.0745;0.0794;0.1351;0.1976;0.2216;0.2352;0.2452;0.2685;9;9;9;9;9;9;9;9;9
pin_753;0.0246;0.4284;0.3309;0.0336;0.048;0.0858;0.1073;0.1266;0.1495;0.1926;0.2075;0.2027;6;6;6;6;6;6;6;6;6
